synthetic_subject_id,face_source_identity,palm_source_identity,fingerprint_source_person_id,face_total_images,palm_total_images,fingerprint_train_fingers,fingerprint_val_fingers
s001,n000474,palm_0081,525,5,3,10,10
s002,n000261,palm_0106,109,5,3,10,10
s003,n000487,palm_0055,588,5,3,10,10
s004,n000064,palm_0027,28,5,3,10,10
s005,n000283,palm_0024,37,5,3,10,10
s006,n000099,palm_0062,186,5,3,10,10
s007,n000230,palm_0018,335,5,3,10,10
s008,n000400,palm_0070,292,5,3,10,10
s009,n000446,palm_0084,14,5,3,10,10
s010,n000183,palm_0110,19,5,3,10,10
s011,n000260,palm_0095,368,5,3,10,10
s012,n000331,palm_0100,519,5,3,10,10
s013,n000447,palm_0061,11,5,3,10,10
s014,n000101,palm_0012,563,5,3,10,10
s015,n000213,palm_0048,571,5,3,10,10
s016,n000470,palm_0104,448,5,3,10,10
s017,n000102,palm_0082,369,5,3,10,10
s018,n000117,palm_0057,521,5,3,10,10
s019,n000279,palm_0086,221,5,3,10,10
s020,n000202,palm_0105,497,5,3,10,10
s021,n000156,palm_0007,580,5,3,10,10
s022,n000412,palm_0079,442,5,3,10,10
s023,n000010,palm_0064,467,5,3,10,10
s024,n000303,palm_0117,289,5,3,10,10
s025,n000024,palm_0035,39,5,3,10,10
s026,n000222,palm_0003,517,5,3,10,10
s027,n000095,palm_0085,96,5,3,10,10
s028,n000285,palm_0063,390,5,3,10,10
s029,n000269,palm_0037,22,5,3,10,10
s030,n000050,palm_0008,88,5,3,10,10
s031,n000238,palm_0032,204,5,3,10,10
s032,n000128,palm_0002,159,5,3,10,10
s033,n000166,palm_0010,476,5,3,10,10
s034,n000228,palm_0013,285,5,3,10,10
s035,n000154,palm_0120,498,5,3,10,10
s036,n000046,palm_0060,230,5,3,10,10
s037,n000055,palm_0096,76,5,3,10,10
s038,n000389,palm_0092,322,5,3,10,10
s039,n000419,palm_0022,121,5,3,10,10
s040,n000314,palm_0046,134,5,3,10,10
s041,n000138,palm_0059,15,5,3,10,10
s042,n000173,palm_0089,330,5,3,10,10
s043,n000096,palm_0080,75,5,3,10,10
s044,n000442,palm_0011,102,5,3,10,10
s045,n000184,palm_0031,595,5,3,10,10
s046,n000295,palm_0090,178,5,3,10,10
s047,n000399,palm_0058,252,5,3,10,10
s048,n000177,palm_0044,26,5,3,10,10
s049,n000401,palm_0093,457,5,3,10,10
s050,n000278,palm_0029,576,5,3,10,10
s051,n000468,palm_0030,59,5,3,10,10
s052,n000256,palm_0021,484,5,3,10,10
s053,n000042,palm_0073,508,5,3,10,10
s054,n000224,palm_0076,124,5,3,10,10
s055,n000058,palm_0071,278,5,3,10,10
s056,n000004,palm_0051,52,5,3,10,10
s057,n000223,palm_0028,495,5,3,10,10
s058,n000167,palm_0103,566,5,3,10,10
s059,n000376,palm_0019,128,5,3,10,10
s060,n000482,palm_0020,465,5,3,10,10
s061,n000332,palm_0114,100,5,3,10,10
s062,n000158,palm_0068,172,5,3,10,10
s063,n000006,palm_0119,387,5,3,10,10
s064,n000157,palm_0072,177,5,3,10,10
s065,n000429,palm_0102,263,5,3,10,10
s066,n000080,palm_0107,511,5,3,10,10
s067,n000359,palm_0049,469,5,3,10,10
s068,n000114,palm_0054,490,5,3,10,10
s069,n000136,palm_0091,514,5,3,10,10
s070,n000273,palm_0017,496,5,3,10,10
s071,n000191,palm_0038,583,5,3,10,10
s072,n000189,palm_0115,357,5,3,10,10
s073,n000335,palm_0042,5,5,3,10,10
s074,n000245,palm_0053,247,5,3,10,10
s075,n000194,palm_0040,489,5,3,10,10
s076,n000014,palm_0065,89,5,3,10,10
s077,n000008,palm_0039,232,5,3,10,10
s078,n000277,palm_0016,67,5,3,10,10
s079,n000265,palm_0098,273,5,3,10,10
s080,n000216,palm_0111,349,5,3,10,10
s081,n000340,palm_0009,268,5,3,10,10
s082,n000108,palm_0088,198,5,3,10,10
s083,n000336,palm_0047,395,5,3,10,10
s084,n000030,palm_0026,503,5,3,10,10
s085,n000084,palm_0112,95,5,3,10,10
s086,n000151,palm_0067,155,5,3,10,10
s087,n000038,palm_0001,250,5,3,10,10
s088,n000392,palm_0097,166,5,3,10,10
s089,n000494,palm_0006,167,5,3,10,10
s090,n000100,palm_0033,453,5,3,10,10
s091,n000164,palm_0025,478,5,3,10,10
s092,n000437,palm_0074,314,5,3,10,10
s093,n000369,palm_0050,463,5,3,10,10
s094,n000491,palm_0109,241,5,3,10,10
s095,n000262,palm_0116,356,5,3,10,10
s096,n000193,palm_0078,353,5,3,10,10
s097,n000354,palm_0101,49,5,3,10,10
s098,n000092,palm_0041,424,5,3,10,10
s099,n000168,palm_0094,114,5,3,10,10
s100,n000141,palm_0118,185,5,3,10,10
